"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"September 29, 2005","University of Georgia ","Athens","Georgia","Hacking or Malware","Educational Institutions","1,600",1600,"A hacker may have accessed the names and Social Security numbers of at least 1,600 people working for the College of Agricultural and Environmental Sciences.  The University is attempting to contact individuals who may have been affected.","Dataloss DB","2005",-83.357567,33.9519347
"October 8, 2005","Blockbuster","New","York","Physical Loss","Retail Merchant Including Online Retail","0",0,"Hundreds of files were dumped in clear garbage bags on the street.  Recent membership applications revealed customer names, birth dates, addresses, phone numbers, driver's license numbers, credit card number, credit card expiration date and signatures.  For some strange reason, the applications also included customer Social Security numbers.  The files were dumped after the store went out of business.","Dataloss DB","2005",-74.0059728,40.7127753
"October 20, 2005","Monmouth University","West","Long","Unintended Disclosure","Educational Institutions","677",677,"The names and Social Security numbers of 677 students were posted online for over four months.  The University corrected the error and notified students after a student notified them of the problem.  A glitch seems to have caused the information to be found through a simple Internet search.","Dataloss DB","2005",-74.0176381,40.2903891
"October 20, 2005","Vermont Technical College","Randolph","Center","Unintended Disclosure","Educational Institutions","0",0,"Names, Social Security numbers, addresses, SAT scores and ethnicity of all students enrolled during 2003 were posted online from January 2004 until the mistake was discovered in October of 2005.  Someone accidentally sent the data to a publicly accessible place.","Dataloss DB","2005",-72.6070925,43.9407223
"July 7, 2006","University of Tennessee","Knoxville","Tennessee","Hacking or Malware","Educational Institutions","36,000",36000,"Hacker broke into a UT computer 
            containing names, addresses and SSNs of about 36,000 past and current 
            employees. The intruder used the computer from Aug. '05 to May 
            '06 to store and transmit movies.","Dataloss DB","2006",-83.9207392,35.9606384
"November 7, 2005","Papa John's","Louisville","Kentucky","Unintended Disclosure","Retail Merchant Including Online Retail","0",0,"An error made thousands of customer comments and internal corporate emails available to anyone searching the Internet.  Customer comments submitted between September 29 and November 7 were viewable and had customer names, addresses, phone numbers and email addresses attached.  The company stated that ""customer feedback over the last five weeks...could be viewed by a user who would have to enter a very specific, unpublished URL.""  The system now requires a password.","Dataloss DB","2005",-85.7584557,38.2526647
"November 6, 2010","General Services Administration","Washington","District","Insider","Government and Military","12,000",12000,"An employee sent an email with the names and Social Security numbers of the entire staff to a private, outside address.  Though notification emails were sent at the end of September, many employees learned of the incident in November.","Databreaches.net","2010",-120.7401385,47.7510741
"November 6, 2010","Murphy USA","Shelbyville","Indiana","Physical Loss","Retail Merchant Including Online Retail","0",0,"A file cabinet with personal information was found in a dumpster near Murphy USA gas station.  Most of the files belonged to former employees of the gas station.  Dozens of copies of Social Security cards, driver's licenses, contact information and other personnel information were retrieved.  A representative from the gas station said that the files should have been shredded and that they are searching for the employee responsible.","Databreaches.net","2010",-85.7769238,39.5214373
"November 18, 2005","Indiana University Kelley School of Business","Indianapolis","Indiana","Hacking or Malware","Educational Institutions","5,278 (4,778 SSNs reported)",4778,"A hacker may have accessed the names, Social Security numbers and grades of students who enrolled in Introduction to Business courses between 2001 and 2005.  The computer may have been hacked and installed with malware as early as August.  A representative believes the breach occurred because the files were stored on a computer that did not have current anti-virus and system-protection software.","Dataloss DB","2005",-86.158068,39.768403
"October 29, 2005","University of Tennessee","Knoxville","Tennessee","Unintended Disclosure","Educational Institutions","1,900",1900,"Nineteen hundred students and employees had their names and Social Security numbers posted on the Internet from spring of 2004 until the discovery in October of 2005.  A student searched her name and found it listed with her Social Security number on a UT email discussion group site.  Information pertaining to individuals who had either paid or owed small amounts of money to the University was shared among 10 employees and the information technology office.  The information was mistakenly coded as public rather than private.","Dataloss DB","2005",-83.9207392,35.9606384
"November 23, 2005","University of Delaware","Newark","Delaware","Hacking or Malware","Educational Institutions","952",952,"Two separate departments were breached by hacking within a short period of time.  A School of Education computer with the names and Social Security numbers of 772 students registered in online education courses was attacked in late August.  A Department of English computer that had the Social Security numbers of 180 faculty, graduate assistant and other teaching staff from the department was also hacked in August.  The larger breach appears to be the result of someone attempting to establish an illegal movie sharing system.  The smaller breach was a possible attempt to log onto and control one server in order to gain control over servers of other campuses.  Those affected received notification and Social Security numbers have been removed from both servers.","Dataloss DB","2005",-75.7496572,39.6837226
"September 28, 2005","RBC Dain Rauscher","Minneapolis","Minnesota","Insider","Financial and Insurance Services","300,000 households (100 targeted)",100,"Someone claiming to be a former employee obtained customer names, addresses, tax ID number, birth date and Dain Rauscher account number.  The former employee sent letters to over 100 customers and claimed that their personal information had been sold in retaliation against the company.","Dataloss DB","2005",-93.2650108,44.977753
"December 8, 2005","San Antonio Independent School District","San","Antonio","Portable Device","Educational Institutions","1,000",1000,"A laptop with personal information of more than a thousand teachers was stolen from an employee's unlocked car.  The information included names, Social Security numbers and dates of birth. ","Dataloss DB","2005",-98.4936282,29.4241219
"December 8, 2005","J-Sargeant Reynolds Community College","Richmond","Virginia","Unintended Disclosure","Educational Institutions","26,000",26000,"The names, Social Security numbers and addresses of students taking non-credit classes from 2000 to 2003 were posted online for months.  The information was compiled for a mailing list, but an employee posted it on the College's server.  A student informed officials of the mistake after accessing the information online.  The College began the process of removing the information from the web.","Dataloss DB","2005",-77.4360481,37.5407246
"December 8, 2005","Federal Reserve Bank of Dallas","Dallas","Texas","Physical Loss","Government and Military","8,000",8000,"A courier truck dropped canceled personal and business checks on northbound Central Expressway near Woodall Rodgers Freeway around 4 a.m.  The incident closed the freeway exit until 7 a.m.  Employees from the Federal Reserve, the courier company and the Texas Department of Transportation removed many checks, though some disappeared.  Some unaffiliated people also returned checks to the authorities.  A very similar incident happened in August of 2005.","Dataloss DB","2005",-96.7969879,32.7766642
"December 28, 2005","Marriott International Inc.","Orlando","Florida","Portable Device","Retail Merchant Including Online Retail","206,000",206000,"It is unclear whether backup computer tapes with credit card account information and Social Security numbers were lost or stolen from headquarters during November. Employees and time-share owners and customers were affected.","Dataloss DB","2005",-81.3792365,28.5383355
"December 21, 2005","Sunrise Volkswagen","Lynbrook","New","Physical Loss","Retail Merchant Including Online Retail","0",0,"Bank credit applications with names, Social Security numbers, addresses, telephone numbers, employment information and signatures were obtained by unauthorized access between December 15 and 16.  ","Dataloss DB","2005",-73.6717969,40.6548253
"December 9, 2005","Oregon Community Credit Union","Springfield","Oregon","Physical Loss","Financial and Insurance Services","200",200,"A packet of insurance forms with names, Social Security numbers and addresses of around 200 Oregon Community Credit Union employees was inside of a stolen car. Someone tried to use the identity of an employee after the theft.  The company is on alert and purchased extended identity theft insurance for those who were affected by the theft.","Dataloss DB","2005",-123.0220289,44.0462362
"November 7, 2010","Richmond Public Schools","Richmond","Virginia","Unintended Disclosure","Educational Institutions","110",110,"An employee accidentally sent an email with the names, Social Security numbers and other personal information of 110 employees to 3,300 employees.  Administrators began limiting access to the document and the entire email system after the mistake was discovered half an hour later.  The email contained personnel changes, but was supposed to be emailed without the personal information of those employees who were moving within the organization.","Databreaches.net","2010",-77.4360481,37.5407246
"November 8, 2010","Arista OB-GYN Clinic","Woodstock","Georgia","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","0",0,"Private medical records were dumped outside a closed office.  A news team found several hundred documents that appeared to mostly be patient records with names, addresses, sonograms, copies of checks and detailed medical information.  The dumpster was confiscated and searched by police.  Files were also found under the dumpster.  The doctor could face felony charges.","PHIPrivacy.net","2010",-84.5193754,34.1014873
"November 9, 2010","New Hanover County","Wilmington","North","Unintended Disclosure","Government and Military","0",0,"A list of 9,845 property owner accounts was published online. Social Security numbers were attached to 163 of the accounts, though some people had multiple accounts. The list of delinquent accounts was mistakenly published before the Social Security numbers were removed.  It is unclear how long the information was available online.","Databreaches.net","2010",-77.9447102,34.2257255
"January 26, 2006","College of St. Scholastica","Duluth","Minnesota","Stationary Device","Educational Institutions","12,000",12000,"A computer was stolen from a locked office in the College's information Technology Department on or around December 24.  The computer had Social Security numbers and names of current and former students. The thief was caught and claims that none of the personal information was used.","Dataloss DB","2006",-92.1004852,46.7866719
"December 25, 2005","Ameriprise Financial Inc.","Minneapolis","Minnesota","Portable Device","Financial and Insurance Services","226,000",262000,"A laptop was stolen from 
            an employee's car on Christmas eve. It contained customers' names and 
            Social Security numbers and in some cases, Ameriprise account information. Around 68,000 customers had their names and Social Security numbers exposed.  Around 158,000 customers had their names and internal account numbers exposed.
            UPDATE (08/01/06): The 
            laptop was recovered by local law enforcement in the community where 
            it was stolen.  UPDATE
            (12/11/06): The company settled with the Massachusetts securities 
            regulator in the office of the Secretary of State. Ameriprise agreed 
            to hire an independent consultant to review its policies and procedures 
            for employees' and contractors' use of laptops containing personal 
            information. Ameriprise will pay the state regulator $25,000 for the 
            cost of the investigation.","Dataloss DB","2005",-93.2650108,44.977753
"January 25, 2006","University of Delaware","Newark","Delaware","Stationary Device","Educational Institutions","159",159,"Two separate breaches occurred on the campus during November and December.  A computer from the School of Urban Affairs and Public policy was hacked and a back-up hard drive was stolen from the Department of Entomology and Wildlife Ecology.  The hacking incident occurred between November 22 and 26 and exposed the Social Security numbers of 159 graduate students.  The hard drive theft occurred between December 16 and 18 and the personal information of an unknown number of people was exposed.","Dataloss DB","2006",-75.7496572,39.6837226
"August 16, 2006","Chevron","San","Ramon","Portable Device","Business Other","0",0,"Chevron informed its U.S. 
            workers on Aug. 14 that a laptop was stolen from an employee of 
            an independent public accounting firm who was auditing its benefits 
            plans. The theft apparently occurred Aug. 5. Files contained SSNs 
            and sensitive information related to health and disability plans.","Dataloss DB","2006",-121.9780153,37.7799273
"January 20, 2006","University of Kansas (Kansas University)","Lawrence","Kansas","Unintended Disclosure","Educational Institutions","9,200",9200,"A computer file with sensitive personal information was accessible to the public.  Students who applied and paid an application fee online between April 29, 2001 and December 16, 2005 had their names, Social Security numbers, birth dates, addresses, phone numbers and credit card numbers exposed.","Dataloss DB","2006",-95.2352501,38.9716689
"January 16, 2006","New York City Teachers Retirement System","New","York","Insider","Government and Military","5,800",5800,"A dishonest employee and two others were arrested for their part in writing and cashing fraudulent checks.  Police found fraudulent checks with the names of 19 pension members and beneficiaries in the apartment of the former employee.  The employee was originally hired as a temp and had worked for the company for three years.  He had access to the information of 5,800 pension members.","Dataloss DB","2006",-74.0059728,40.7127753
"May 22, 2007","University of Pittsburgh Medical Center","Pittsburgh","Pennsylvania","Unintended Disclosure","Healthcare Medical Providers and Medical Insurance Services","6,000",6000,"UPMC mailed a fundraising 
            letter to 6,000 former patients on May 7. The donor response cards 
            inadvertently included each individual's SSN in the tracking 
            code, visible through the envelope window.","Dataloss DB","2007",-79.9958864,40.4406248
"January 15, 2006","Illinois Education Association","Springfield","Illinois","Stationary Device","Nonprofits","0",0,"Two laptops, six desktops and a digital camera were stolen from the Illinois Education Association office sometime prior to the week of January 3. Some of the computers contained Social Security numbers of members.  Many member organizations were affected.  Over 2,400 members from the Elgin Area School District were affected.","Dataloss DB","2006",-89.6501481,39.7817213
"January 31, 2006","Boston Globe (The New York Times Company) and The Worcester Telegram & Gazette ","Boston","Massachusetts","Unintended Disclosure","Business Other","240,000",240000,"Recycled paper used in wrapping newspaper 
            bundles for distribution turned out to contain credit and debit card information along with routing information for 
            personal checks of subscribers.  ","Dataloss DB","2006",-71.0588801,42.3600825
"February 1, 2006","University of Colorado, Colorado Springs (UCCS)","Colorado","Springs","Hacking or Malware","Educational Institutions","2,500",2500,"Names, Social Security numbers, addresses and birth dates of current and former employees were accessed.  A computer in the Personnel Department was hacked and infected with a virus.  People employed by the University at anytime between the attack and 2004 are at risk.  The virus infected other computers at the University and was part of a worldwide attack.","Dataloss DB","2006",-104.8213634,38.8338816
"February 2, 2006","Presbyterian Healthcare Service","Albuquerque","New","Stationary Device","Healthcare Medical Providers and Medical Insurance Services","450",450,"The theft of a computer may have exposed patient and physician information. Names, Social Security numbers, addresses, phone numbers and credit card numbers were on the computer.  The computer may have been stolen for the purpose of committing identity theft.","Dataloss DB","2006",-106.6055534,35.0853336
"February 15, 2006","Suffolk County Clerk's Office","Long","Island","Unintended Disclosure","Government and Military","7,000",7000,"Between 7,000 and 8,000 homeowners had their Social Security numbers accidentally posted online.  After realizing the mistake, County officials realized that they could not remove the information.  People who pay to access the County's public records online will be able to see the Social Security numbers associated with people and addresses in the system that date back to 2001.  The county could not alter public records in any way, but a new program will be implemented to block the Social Security numbers from newly recorded documents.","Dataloss DB","2006",-73.134961,40.789142
"February 16, 2006","University of Washington Medical Center","Seattle","Washington","Hacking or Malware","Healthcare Medical Providers and Medical Insurance Services","0",0,"A hacker broke into the UW Medicine computer system in June of 2004.  The incident was not discovered until December of 2005.  The hacker may have accessed and copied patient and business records for 18 months.  The goal of the hacker appears to have been to use the system for its computing power and data storage.","Dataloss DB","2006",-122.3320708,47.6062095
"February 20, 2006","Alltel Corporation","Little","Rock","Physical Loss","Retail Merchant Including Online Retail","0",0,"Customer files with cell phone records, Social Security numbers, addresses and phone numbers were found in a dumpster.  A landscaper discovered the files and alerted a news crew. A spokesperson for the company said that this is against their official electronic policy.","Dataloss DB","2006",-92.2895948,34.7464809
"February 22, 2006","New Hampshire Department of Motor Vehicles","","New","Hacking or Malware","Government and Military","0",0,"Malware was discovered on the DMV server during a routine security check. Though there is no evidence of misuse, credit card information could have been accessed. It is unknown how the malware application got onto the computer. The FBI confiscated the computer.","","2006",-82.4965938,27.321687
"February 22, 2006","University of Texas M.D. Anderson Cancer Center","Houston","Texas","Portable Device","Healthcare Medical Providers and Medical Insurance Services","4,000",4000,"A laptop containing insurance information for patients was stolen from a PricewaterhouseCoopers employee's home in November.  Patients and patient families were notified in January that their private health information, policy numbers, dates of birth, ZIP codes and Social Security numbers may have been exposed.","Dataloss DB","2006",-95.3698028,29.7604267
"February 13, 2006","Ernst & Young ","New","York","Portable Device","Business Other","38,000",38000,"A laptop containing 
            the names, dates of birth, genders, family sizes, Social Security 
            numbers and tax identifiers for current and previous IBM, Sun Microsystems, 
            Cisco, Nokia and BP employees was stolen from a locked car. While Ernst and Young waited until pressured to inform a majority of those affected about the breach, at least one CEO from the affected companies was contacted immediately. ","Security Breach Letter","2006",-74.0059728,40.7127753
"August 18, 2008","The Princeton Review","New","York","Unintended Disclosure","Educational Institutions","108,000 (No SSNs or financial information reported)",0,"The test-preparatory firm accidentally 
            published the personal data and standardized test scores of tens of 
            thousands of Florida students on its Web site. One file on the site 
            contained information on about 34,000 students in the public schools 
            in Sarasota, Fl. Another folder contained dozens of files with names 
            and birth dates for 74,000 students in the school system of Fairfax 
            County, Va.","Dataloss DB","2008",-74.0059728,40.7127753
"February 16, 2006","The Princeton Review","New","York","Unintended Disclosure","Retail Merchant Including Online Retail","0",0,"An unauthorized user attempted to obtain the IDs and passwords of a small number of account holders. A small number of the accounts may have contained names, Social Security numbers,  dates of birth, email addresses, mailing addresses and information from college applications.  The unauthorized user may have had access to the information before the February 10 incident was discovered. At least 35 New York residents were affected.","Dataloss DB","2006",-74.0059728,40.7127753
"March 22, 2006","District of Columbia Board of Elections and Ethics","Washington","District","Unintended Disclosure","Government and Military","0",0,"The Social Security numbers of registered voters in the District of Columbia were accessible.  D.C. residents' voting histories were mailed with Social Security numbers that were poorly hidden or not hidden at all.  The problem occurred because residents were asked to use their Social Security numbers as voter IDs.  The policy was changed to include only the last four digits of Social Security numbers.","Dataloss DB","2006",-120.7401385,47.7510741
"March 24, 2006","California State University, Dominquez Hills","Carson","California","Portable Device","Educational Institutions","2,486",2486,"The theft of a laptop resulted in the exposure of student and potential student personal information.  The University tightened access to campus servers and the campus network. ","Dataloss DB","2006",-118.281693,33.8316745
"March 29, 2006","University of Nebraska Lincoln (UNL)","Lincoln","Nebraska","Unintended Disclosure","Educational Institutions","342",342,"Students from the College of Engineering had Social Security numbers, email addresses, grade point averages and other personal information posted online.  The information may have been posted since November of 2004 and was first noticed in summer of 2005.  The problem was finally fixed during the week of March 29 when the file was removed from the Google server.","Dataloss DB","2006",-96.6851982,40.8257625
"March 2, 2006","Los Angeles County Department of Social Services","Los","Angeles","Physical Loss","Government and Military","Potentially 2,000,000",2e+06,"File boxes containing names,              dependents, Social Security numbers, telephone numbers, medical information,              employer, W-2, and date of birth were left unattended for at least one month.  This affects employees and clients.","Dataloss DB","2006",-118.2436849,34.0522342
"March 30, 2006","Snyder, Cohn, Collyer, Hamilton and Associates, P.C., Murry's Inc.","Bethesda","Maryland","Portable Device","Financial and Insurance Services","0",0,"A laptop was stolen from Snyder on February 9.  Snyder provided the accounting services for Murry's pension plan and others. The laptop may have contained Social Security numbers, dates of birth and pay information.","Dataloss DB","2006",-77.0947092,38.984652
"March 3, 2006","PayDay OK LLC","","New","Hacking or Malware","Financial and Insurance Services","88",88,"The company's website was breached sometime around February 19 by a hacker in an attempt to gain access to certain customers' private information. Social Security numbers, names, addresses, bank account names and bank account numbers may have been compromised. At least 88 individuals were affected.","California Attorney General","2006",-82.4965938,27.321687
"March 10, 2006","Long Island University, Alpha Chi National Honors Society","Brooklyn","New","Unintended Disclosure","Educational Institutions","51",51,"Students who applied to join Alpha Chi had their Social Security numbers and other personal information sent to an Honors student email list.  The email was recalled immediately, but anyone who opened it right away would have been able to access the applicant information.  The advisor responsible for the mistake asked the National Office to consider abandoning the use of Social Security numbers.","Dataloss DB","2006",-73.9441579,40.6781784
"March 7, 2006","Audiolink LLC (Audio Link)","Orlando","Florida","Hacking or Malware","Retail Merchant Including Online Retail","25",25,"A hacker may have accessed customer names, addresses, telephone numbers, email addresses and credit card information from the company's website.  Audiolink disabled the credit card functions on their website and updated web security.","Dataloss DB","2006",-81.3792365,28.5383355
"March 6, 2006","First Horizon Home Loans","Lake","Oswego","Stationary Device","Financial and Insurance Services","8",8,"A desktop computer was stolen from one of First Horizon's financial centers.  The desktop contained customer and client files with names, addresses, phone numbers, Social Security numbers and mortgage account numbers.","Dataloss DB","2006",-122.6706498,45.4206749
"March 16, 2006","Mortgage Institute of Michigan ","Southfield","Michigan","Unknown","Financial and Insurance Services","67",67,"Someone used the Mortgage Institute of Michigan's account to make credit report requests.  Most of the requests were for Experian credit reports.  Equifax suspended the organization's access codes and an FBI investigation began.  The unauthorized user would have had access to customer names, Social Security numbers, home addresses, account numbers, creditor names and payment histories.","Dataloss DB","2006",-83.2218731,42.4733688
"June 15, 2007","Ohio state workers","Columbus","Ohio","Portable Device","Government and Military","1,000,000",1e+06,"A backup computer 
            storage device with the names and Social Security numbers of every 
            state worker was stolen out of a state intern's car. The tape, which 
            was stolen in June, contains personally identifiable information of 
            nearly 84,000 current and former Ohio state employees and more than 
            47,000 state taxpayers. UPDATE
            (6/20/07) :
            The storage device also had the names and Social Security numbers 
            of 225,000 taxpayers. UPDATE
            (6/22/07) :

            Previous news stories reported smaller amounts, but the most recent 
            news story shows 500,000. UPDATE (7/12/07) The State of Ohio increased the data theft estiamte to one million.","Dataloss DB","2007",-82.9987942,39.9611755
"March 31, 2006","Security Mutual Life Insurance Company of New York","New","York","Portable Device","Financial and Insurance Services","167",167,"The March 9 theft of a laptop resulted in the exposure of the personal information of disability insurance clients.  Client names, Social Security numbers and dates of birth may have been exposed.","Dataloss DB","2006",-74.0059728,40.7127753
"March 15, 2006","Ernst & Young, IBM","New","York","Portable Device","Financial and Insurance Services","84,000",84000,"A laptop with sensitive information was stolen from an employee's car in January.  IBM employees who may have been stationed overseas during their careers were affected.  Names, Social Security numbers, dates of birth, genders, family sizes and tax identifiers for employees were exposed. Those affected were notified in March.","Dataloss DB","2006",-74.0059728,40.7127753
"April 11, 2007","ChildNet","Ft","Lauderdale","Portable Device","Nonprofits","12,000",12000,"An organization responsible 
            for managing Broward County's child welfare system believes a dishonest 
            former employee stole a laptop from the agency's office. It contains 
            personal information of adoptive and foster-care parents including 
            financial and credit data, Social Security numbers, driver's license 
            data and passport numbers.","Dataloss DB","2007",-80.1373174,26.1224386
"April 1, 2006","Shorter College","Rome","Georgia","Hacking or Malware","Educational Institutions","0",0,"A student was arrested for computer theft and hacking the College's computer network.  The student may have accessed student, staff and faculty information.","Dataloss DB","2006",-85.1646726,34.257038
"April 10, 2006","Broward County Records Division","Fort","Lauderdale","Unintended Disclosure","Government and Military","0",0,"Broward County public records with Social Security numbers, driver's license information and bank account details were made available online.  The information has been available online for several years.  A new statute that will require county recorders to remove Social Security numbers and financial information from public documents before posting documents online will take effect in 2007.  The sensitive information that has already been posted will eventually be removed. Individuals can speed up the process of having their specific information removed by submitting a written request.","Dataloss DB","2006",-80.1373174,26.1224386
"April 12, 2006","Ross-Simons","Providence","Rhode","Hacking or Malware","Retail Merchant Including Online Retail","32,000",32000,"A security breach exposed 
            account and personal information of those who applied for Ross-Simons' private 
            label credit card. Information exposed includes private label credit 
            card numbers and other personal information of applicants.","Dataloss DB","2006",-71.4128343,41.8239891
"April 13, 2006","Fifth Third Bank","Evansville","Indiana","Insider","Financial and Insurance Services","1,000",1000,"An employee was able to gain access to around 1,000 customer accounts.  He used this information to stalk and harass female news celebrities.  He now faces two felony counts of attempting to defraud using personal information and two misdemeanor counts of stalking and repeated harassment.","Dataloss DB","2006",-87.5710898,37.9715592
"April 21, 2006","Impac Funding Corporation","Newport","Beach","Portable Device","Financial and Insurance Services","4,600",4600,"Several laptops were stolen.  Saved emails with the names and Social Security numbers of customers may have been on one of the stolen laptops.","Dataloss DB","2006",-117.9298493,33.6188829
"April 24, 2006","University of Virginia","Charlottesville","Virginia","Stationary Device","Educational Institutions","0",0,"A stolen computer contained the information of students who took engineering classes.  The information included names, grades and student identification numbers.  Hundreds of students are at risk of identity theft since Social Security numbers were used as student identification numbers.","Dataloss DB","2006",-78.4766781,38.0293059
"July 17, 2006","Vassar Brothers Medical Center","Poughkeepsie","New","Portable Device","Healthcare Medical Providers and Medical Insurance Services","257,800 (revised to 0)",0,"Laptop was stolen from the              emergency department between June 23-26. It contained information              on patients dating back to 2000, including SSNs and dates of birth.                UPDATE (10/5/06)              Private investigators determined the laptop did not contain personally              identifiable patient information.","Dataloss DB","2006",-73.9209701,41.7003713
"April 28, 2006","U.S. Department of Defense","Washington","District","Hacking or Malware","Government and Military","14,000",14000,"A hacker accessed a Tricare 
            
            Management Activity (TMA) public server containing personal information 
            about military employees. TMA is used to provide health care services to military personnel and their families.","Dataloss DB","2006",-120.7401385,47.7510741
"April 20, 2006","Bear Stearns & Company Inc.","New","York","Unintended Disclosure","Financial and Insurance Services","0",0,"Bear Stearn's realized that unauthorized users could access customer accounts.  Former customers could still log into on-line accounts if their account numbers had been recycled and given to new users. Such information included account holdings and activities, account statements and IRS Forms 1099-DIV and 1099-INT (which included name, address, account number and Social Security number).","Dataloss DB","2006",-74.0059728,40.7127753
"April 17, 2006","Visiting Nurse Service of New York (VNSNY)","New","York","Portable Device","Healthcare Medical Providers and Medical Insurance Services","92",92,"Three separate thefts resulted in the loss of three tablet computers.  The computers were used by therapists who were making therapy treatment visits to patients.  The personal information on the computers included Social Security numbers. VNSNY warned that unauthorized persons might use the stolen tablets to pose as therapists and enter patient homes.","Dataloss DB","2006",-74.0059728,40.7127753
"April 26, 2006","Pershing LLC","Jersey","City","Portable Device","Financial and Insurance Services","92,541",92541,"A Pershing employee lost a laptop computer.  Personal information of clients may have been stored on the laptop.  Names, Social Security numbers, addresses, brokerage account numbers and account holdings may have been exposed.","Dataloss DB","2006",-74.0776417,40.7281575
"April 26, 2006","Amica Mutual Insurance","Lincoln","Rhode","Portable Device","Financial and Insurance Services","751 (number includes only New York residents)",751,"An Amica computer tape with personal information regarding insurance claims was lost in transit.  Amica believes the tape was also destroyed or badly damaged in transit.","Dataloss DB","2006",-71.4418101,41.9110123
"April 12, 2006","Greenpoint Mortgage Funding Inc., KPMG International","Novato","California","Portable Device","Financial and Insurance Services","0",0,"Laptop computers were stolen from two employees of KPMG who were working with data from Greenpoint.  The laptops are believed to have contained customer names, Social Security numbers and FICO scores.  At least 32 people from New York alone were affected by the early March theft. Customers were notified during the middle of April.","Dataloss DB","2006",-122.5697032,38.1074198
"April 26, 2006","Sterling Renaissance Festival","Syracuse","New","Hacking or Malware","Business Other","0",0,"Someone was able to access online orders of Brandywine Limited multiple times between 4/18/06 and 4/20/06.  The online order forms include customer names, addresses, credit card numbers and credit card information.  Some customers may have also had their telephone numbers and email addresses exposed.","Dataloss DB","2006",-76.1474244,43.0481221
"April 19, 2006","Aflac","Columbus","Georgia","Portable Device","Financial and Insurance Services","0",0,"A laptop used to submit insurance applications was stolen from a field associate's home during a burglary.  It may have contained the names and Social Security numbers of policyholders and certificate holders.","Dataloss DB","2006",-84.9877094,32.4609764
"April 28, 2006","Sears, Roebuck, Company Contractor Compliance","Winter","Park","Unintended Disclosure","Financial and Insurance Services","196",196,"A spreadsheet with the business or individual names, identification or Social Security numbers, business addresses and business phone numbers of Sears contractors was accidentally included in an email sent to 373 contractors on April 13.  The contractors were instructed to delete the email on April 24 and were also required to send written confirmation that they had done so.","Dataloss DB","2006",-105.762548,39.8868485
"April 24, 2006","College of New Paltz","New","Paltz","Hacking or Malware","Educational Institutions","0",0,"A hacker accessed the Campus' primary web server and set up a file sharing system.  The server involved also contained access databases that had names and Social Security numbers.","Dataloss DB","2006",-74.0851655,41.7390054
"May 2, 2006","Ohio University","Athens","Ohio","Hacking or Malware","Educational Institutions","300,000 (137,000 SSNs)",137000,"Hackers accessed a computer 
              system of the school's alumni relations department that included 
              biographical information and 137,000 Social Security numbers of 
              alum. 
            UPDATE 
              (8/30/07) :
              An Ohio judge has granted a motion to dismiss a case against Ohio 
              University (OU) regarding security breaches of the school's computer 
              systems that compromised alumni data. The two alumni who filed the 
              lawsuit wanted OU to pay for credit monitoring services for everyone 
              whose data were compromised. The judge said the pair had not proven 
              that they had suffered damages for which they could be compensated.","Dataloss DB","2006",-82.1012554,39.3292396
"May 21, 2006","Columbus Bank & Trust","Columbus","Georgia","Hacking or Malware","Financial and Insurance Services","2,000",2000,"A security problem may have exposed customer credit and check card information.","Dataloss DB","2006",-84.9877094,32.4609764
"May 16, 2006","University of California Berkeley","Berkeley","California","Hacking or Malware","Educational Institutions","1,200",1200,"During an investigation of a computer virus, it was discovered that computers within an office may have been accessed without authorization from within the campus network.  Student, faculty and staff names and Social Security numbers were on archived spreadsheets.  The spreadsheets contained the personal information of people who requested campus cards between 1998 and 2004.","Dataloss DB","2006",-122.272747,37.8715926
"July 1, 2006","American Red Cross, Farmers Branch","Dallas","Texas","Portable Device","Nonprofits","0",0,"Sometime in May, three laptops 
            were stolen, one of them containing encrypted personal information 
            including names, SSNs, dates of birth, and medical information of 
            all regional donors. They also report losing a laptop with encrypted 
            donor information in June 2005.","Dataloss DB","2006",-96.7969879,32.7766642
"August 21, 2006","U.S. Department of Education via contractor, DTI Associates","Washington","District","Portable Device","Government and Military","43",43,"Two laptops were stolen 
            from DTI's office in downtown DC containing personal information on 
            43 grant reviewers for the Teacher Incentive Fund. DTI could not rule 
            out that the data included SSNs.","Dataloss DB","2006",-120.7401385,47.7510741
"February 2, 2007","U.S. Department of Veterans Affairs, VA Medical Center","Birmingham","Alabama","Portable Device","Healthcare Medical Providers and Medical Insurance Services","48,000 veterans
              plus 535,000",583000,"An employee reported 
              a portable hard drive stolen or missing that might contain personal 
              information about veterans including Social Security numbers.

              UPDATE (2/10/07): 
              VA increases number of affected veterans to 535,000, 
              included in the total below.
              UPDATE (2/12/07): 
              VA reported that billing information for 1.3 million doctors was 
              also exposed, including names and Medicare billing codes, not included 
              in the total below.
              UPDATE (3/19/07): 
              The VA's Security Operations Center has referred 250 incidents since 
              July 2006 to its inspector general, which has led to 46 separate 
              investigations.

              UPDATE (6/18/07):More 
              than $20 million to respond to its latest data breach, the breach 
              potentially puts the identities of nearly a million physicians and 
              VA patients.","Dataloss DB","2007",-86.80249,33.5206608
